testname,SGA,RGA,IGA
e15,60801.931000,115812.631000,244484.962000
e16,13405.046000,110699.752000,165225.748000
e17,13385.486000,115784.720000,176633.710000
e18,49939.119000,176686.381000,200758.086000
e19,40434.647000,202007.472000,200524.695000
e20,67809.264000,208607.487000,304054.376000
berlin52,1714.519000,4410.661000,9902.926000
brasil58,2192.104000,5316.996000,11595.865000
world666,63732.522000,184733.801000,349232.206000
p455,38028.192000,67805.168000,94545.258000
p456,39538.806000,70224.549000,89421.236000
p457,38296.395000,70649.498000,99948.981000
p458,38649.546000,69157.006000,99333.904000
p459,39921.147000,68371.900000,96713.170000
p460,40189.808000,68249.976000,93493.023000
p461,40564.155000,9137.290000,48419.825000
p463,167619.976000,270306.658000,506492.380000
p464,149767.191000,272974.479000,467669.874000
i080-001,1710.893000,2716.365000,4395.351000
i080-002,1788.457000,2880.179000,4162.247000
i080-003,2084.369000,2764.957000,4074.060000
i080-004,2106.694000,2877.009000,4243.014000
i080-005,1769.447000,2760.790000,4035.630000
i080-011,1562.081000,2579.469000,3923.139000
i080-012,1787.229000,2620.438000,3819.355000
i080-013,1702.981000,2639.604000,3940.744000
i080-014,1642.669000,2691.029000,3878.253000
i080-015,1451.127000,2748.779000,3942.847000
i080-021,2253.024000,5598.262000,9140.210000
i080-022,2033.773000,5606.598000,9341.978000
i080-023,2058.778000,5693.167000,9341.457000
i080-024,2143.023000,5615.993000,9235.068000
i080-025,2175.991000,5731.369000,8642.970000
i080-031,1828.100000,2593.246000,3549.350000
i080-032,1628.768000,2897.875000,4084.720000
i080-033,1717.955000,2602.477000,3721.112000
i080-034,1751.789000,2473.949000,3511.140000
i080-035,1961.882000,2544.064000,3979.829000
i080-041,1835.430000,3332.916000,4873.839000
i080-042,1748.212000,3286.146000,5073.983000
i080-043,2093.025000,3362.387000,4951.990000
i080-044,2176.648000,3237.904000,4922.601000
i080-045,1834.597000,3202.332000,4880.629000
i080-101,1822.936000,3157.766000,4650.669000
i080-102,2068.945000,2925.419000,4599.893000
i080-103,2243.447000,3458.195000,4725.595000
i080-104,2033.664000,3304.444000,4728.473000
i080-105,1907.578000,2820.468000,4327.395000
i080-111,1831.591000,2847.928000,4597.754000
i080-112,1735.748000,2981.843000,4125.776000
i080-113,1577.998000,2867.291000,4099.461000
i080-114,1526.721000,2823.043000,3914.363000
i080-115,1595.005000,2980.786000,4139.486000
i080-121,2453.312000,6270.702000,9120.301000
i080-122,2073.284000,6440.556000,8682.652000
i080-123,2165.616000,5933.207000,9010.644000
i080-124,2426.473000,6280.079000,9033.571000
i080-125,2179.146000,7099.166000,9174.208000
i080-131,1624.943000,3100.969000,4048.556000
i080-132,1763.380000,3164.538000,3897.635000
i080-133,1721.298000,3218.908000,3784.449000
i080-134,1807.608000,3312.118000,3893.931000
i080-135,1583.782000,3294.770000,3871.898000
i080-141,2070.015000,4344.987000,5334.141000
i080-142,1931.107000,4131.265000,5175.633000
i080-143,1997.553000,4134.047000,4953.739000
i080-144,1889.100000,3966.823000,5180.731000
i080-145,2563.049000,4275.728000,5216.384000
i080-201,2715.204000,4187.256000,5697.894000
i080-202,2286.858000,4191.925000,5279.819000
i080-203,2347.442000,3902.539000,5103.565000
i080-204,2776.884000,4083.577000,5414.864000
i080-205,2248.923000,4062.799000,5607.857000
i080-211,2105.300000,3811.367000,4510.442000
i080-212,2284.270000,3394.910000,4996.297000
i080-213,2144.894000,3551.322000,5001.020000
i080-214,1976.666000,3554.602000,4809.695000
i080-215,2309.227000,3476.138000,4680.417000
i080-221,2603.891000,6694.682000,9300.899000
i080-222,2334.856000,6617.739000,9729.814000
i080-223,2480.948000,6693.017000,9353.176000
i080-224,2877.376000,7006.192000,9394.216000
i080-225,2248.862000,6987.331000,9294.587000
i080-231,2328.694000,4337.602000,5107.853000
i080-232,2380.066000,4807.821000,4923.323000
i080-233,2094.491000,4756.443000,4567.788000
i080-234,1893.890000,4352.791000,4615.310000
i080-235,2549.187000,4853.467000,4910.006000
i080-241,2936.975000,5143.907000,5730.914000
i080-242,2254.176000,4929.281000,5718.389000
i080-243,2252.068000,6532.602000,5952.831000
i080-244,2605.316000,6394.262000,5879.650000
i080-245,2315.074000,4345.333000,5796.880000
i080-301,2528.613000,4440.879000,5529.158000
i080-302,2673.078000,4594.404000,5949.016000
i080-303,2989.772000,4264.149000,5856.106000
i080-304,2393.369000,4181.993000,5587.247000
i080-305,3057.174000,4577.261000,5992.761000
